id	text	HS	TR	AG
20001	np00000 vmip000 vmn0000 da0000 nc0s000 sp000 nc0p000 vmis000 dn0000 nc0s000 sp000 vmn0000 da0000 nc0s000	1	0	0
20002	da0000 nc0s000 vmip000 vmn0000 di0000 nc0s000 aq0000 sp000 nc0s000 sp000 da0000 nc0p000 aq0000 sp000 np00000 sp000 pr000000 fh pt000000 rg sp000 da0000 w vmn0000 sp000 nc0s000	1	0	0
20003	vmip000 vmp0000 sp000 nc0p000 aq0000 sp000 nc0s000 aq0000 cc nc0s000 di0000 sp000 nc0s000 vmp0000 sp000 nc0s000 aq0000 cc nc0s000 np00000 cc vmis000 sp000 di0000 pr000000 nc0s000 fh aq0000 vmis000 sp000 dd0000 nc0s000 sp000 nc0p000 np00000 vmip000 sp000 vmn0000 sp000 nc0s000 vmn0000 word	0	0	0
20004	fg pp000000 vsip000 aq0000 sp000 da0000 pr000000 rg pp000000 vmip000 da0000 pr000000 sp000 nc0s000 cc nc0s000 fh aq0000 vsip000 nc0s000 nc0s000 vsip000 nc0s000 np00000 fs fg vmip000 cs da0000 np00000 np00000 pt000000 nc0s000 np00000	0	0	0
20007	np00000 np00000 cc nc0s000 vsn0000 sp000 aq0000 nc0s000 cc nc0s000 sp000 da0000 nc0s000 aq0000 cs nc0s000 vsip000 da0000 di0000 nc0s000 aq0000 cc nc0s000 cc vmip000 di0000 nc0p000 pr000000 vmip000 da0000 nc0s000 np00000	0	0	0
20008	aq0000 nc0s000 sp000 nc0s000 vmip000 sp000 da0000 nc0s000	0	0	0
20009	np00000 aq0000 vmic000 vmn0000 di0000 nc0s000 sp000 nc0s000	0	0	0
20010	vmp0000 nc0s000 vmip000 pd000000 vmis000 np00000 di0000 nc0s000 sp000 da0000 nc0s000	0	0	0
20012	fd vmis000 sp000 np00000 nc0s000 cc aq0000 nc0s000 aq0000	0	0	0
20013	vmip000 nc0s000 aq0000 sp000 nc0s000	1	1	1
20014	nc0p000 aq0000 vmis000 di0000 nc0s000 sp000 nc0s000 sp000 vmn0000 vsn0000 vmp0000	0	0	0
