id	text	HS	TR	AG
20001	Easyjet quiere duplicar el número de mujeres piloto' Verás tomo para aparcar el avión..	1	0	0
20002	El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por que / qué después de el 20-8querrán venir en masa	1	0	0
20003	Yoga vuelto a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que siglo / siguiente suicidaron por este tipo de comportamientos machistas. Vas a seguir con tomo mostrar pobre?	0	0	0
20004	— Yoga soy respetuoso con los demás, sólamente les recuerdo lo que sin número Y siglo / siguiente son escoria nota es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién mediodía tomas!?	0	0	0
20007	Antonio Caballero y comisión ser de mal gusto e ignorante a la vez. Claro que nota es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.	0	0	0
20008	Cuánto hijo de puta sobra en el mundo...	0	0	0
20009	Pablo Casado debería estudiar un máster en inmigración	0	0	0
20010	vuelto mediodía haces eso tomo pego una patada en la cara	0	0	0
20012	: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado	0	0	0
20013	Llora tomo lo.mereces por zorra	1	1	1
20014	Padres indocumentados realizaron una huelga de hambre para pedir ser liberados	0	0	0
20015	No siglo / siguiente porque hay personas que piensan que todos los inmigrantes son delincuentes	0	0	0
20016	A Tomi Alegre JAKSKKSJSJ — Cállate que / qué tdv estoy de duelo puta	0	0	0
20017	Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo	1	1	1
20018	Albondigas! Casi arroba estilo de las fodongas pero en el Gabacho.	0	0	0
20020	Todos: - -PPK, presidente de lujo -Perú nota véase / verso arroba mundial 2017: Já, ilusos.	0	0	0
20021	El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la	0	0	0
20022	VAMOOOO LA PUTA MADRE san LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO	0	0	0
20023	padre / por poder / porte pagado / portes pagados a ver siglo / siguiente cierran de una puta vez Tv3 que nota siglo / siguiente todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o sin lugar de edición / sus labores / sin indicación de el lugar de edición hace daño que roben unos?	0	0	0
20024	Yoga estaba claro que esta véase / mira de trabajador inmigrante fundido máquina en el mismo lugar a ser difícil. Y es verdad, es difícil jajaja	0	0	0
20025	Mira de véase / verso estoy hasta la polla ya, nota aguanto más tonterías	0	0	0
20026	No tienes nota puta idea.la melodia es mediodía novia es sevillista...una puta mas.	1	1	1
20027	Diappoler* jajaja cállate Pepe niño polla san mediodía han llenado de notificaciónes jajajajaja	0	0	0
20028	¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra de el acoso sexual y la violación en el trabajo?	0	0	0
20029	san cualquier cantidad suficiente / cantidades suficientes es violación o acoso, siglo / siguiente minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que siglo / siguiente dedican a violar y/o acosar.	0	0	0
20030	Que divertido que consideres que una piba por estar con uno con novia es una zorra... siglo / siguiente mal nota recuerdo también tomo habias metido con uno CON novia, nota hay que hacer lo que nota nos gusta que nos hagan	0	0	0
20031	Odio los viejos que siglo / siguiente creen que siglo / siguiente merecen todo, hijo de puta tomo lo que tomo mereces es una tumba.	0	0	0
20032	Tu eres demasiado perra	1	1	1
20034	El papapapartido imimimporta... callate tartaja!!! Come polla de madeira	0	0	0
20035	callate la puta boca gordo almagro	0	0	0
20036	Es un gran regalo???? Y una polla un regalo, aquí nota le han regalado nada. san lo ha currado muchísimo, ya vale con las tonterías	0	0	0
20037	mediodía saqué un 9 en el final de biología para vuelto hija de puta que / qué nota mediodía quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA	0	0	0
20038	Puteria y perico también somos almas gemelas excepto que tomo eres puta desde él vientre.	1	1	1
20040	eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, siglo / siguiente le aborrece, por escorias comisión mico sorete mal parido	1	0	1
20041	I added a película tomo arroba playlist El Güero Bastidas - Enigma Norteño (2011)	0	0	0
20042	así le digo a tomo mamá callate perra	1	1	1
20043	Cállate y ven ya joder hostia puta	0	0	0
20044	Dos amigos hablando: -Raúl, que / qué mediodía das por mediodía mujer? -Nada -Trato hecho.	1	1	0
20045	Callate perra, muy despierta estoy	1	1	1
20048	que tomo digan güero aunque sin año mas negro que la noche	0	0	0
20049	Alteza vaina, ¿ahora nota puedo criticar porque soy inmigrante? Dios mío ¿por que hay gente así?	0	0	0
20050	Immigration ? Invasion ? Entrada masiva de INMIGRANTES subsaharianos a CEUTA | España via information passée sous silence par les médias belges	0	0	0
20051	don esto que estás escribiendo y tomo preguntas lo callada que está la perra. Miras hacia atrás y tomo encuentras esto.	0	0	0
20052	En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una moneda nacional delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar arroba venezolano. Acá en margarita siglo / siguiente véase / verso mucho esa vaina	1	0	1
20053	Querida tomo eres una puta sin llenadero.. que dicen tus hijos de tomo nuevo amor? Sigues siendo siglo / siguiente ejemplo 🤣🤣🤣	1	1	1
20054	Guyana recibirá $30 mil de Unicef para atender a refugiados venezolanos -	0	0	0
20055	Cómo cuando estás bien prietita y tomo dicen güera jajaja	0	0	0
20056	tomo eres la perra mas perra de las perras	1	1	1
20057	Inmigrantes intentan fugarse de Ceuta escondidos en un ferry vía	0	0	0
20058	Maldito hijo de perra... nota siglo / siguiente por que nota siglo / siguiente fue por una puta letrina en siglo / siguiente pueblo y siglo / siguiente ahogó en mierda, comisión lo merecia.	0	0	0
20059	Yoga callate pinche puta y celebra la navidad hija de perra	1	1	1
20060	A ver quién página la factura y cómo siglo / siguiente reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes nota de lo hagan pagar dentro de un año)...	1	0	0
20061	- El tiempo nota existe. La división espacio-temporal es una invención de el hombre, por lo tanto,.. - Cállate, hijo(a) de puta.	0	0	0
20062	Ahora que mediodía has faltado el respeto tomo lo puedo decir por fin: ¡A fregar puta!	1	1	1
20064	majestad / madre mandan esta mierda. Cultura de la violación en sus mejores pantallas. ESCORIA. san puede hacer algo ?	0	0	0
20065	Pero el escenario que describe nota es de acoso. Es de violación y asesinos	0	0	0
20066	La Conferencia Sectorial de Inmigración y Emigración siglo / siguiente reúne dentro de una hora por primera vez desde 2015. En lo que véase / verso de año, han llegado en patera a las costas de la región 145 ciudadanos argelinos.	0	0	0
20067	Callate Ivan el Tonto, No hay pruebas !!! Donde estabas hijo de perra cuando gente comisión bucaram, Lasso , baqueros, y oportunistas siglo / siguiente comieron arroba Ecuador y siglo / siguiente repartian en pedazos, cuando nota había nota carreteras nota hospitales, nota mediodía	0	0	0
20068	- Final Champions League - Libertadores y Sudaca - Tour, Giro y vuelta - Wimbledon - Super Bowl	0	0	0
20069	Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tomo calle / capítulo / centavo y a las justas terminaste primaria. No tomo hagas la santa hipocrita de cuarta	1	1	1
20070	¿Distingues entre una violación o entre un acoso laboral? o lo metes todo en el mismo pack?. Cuando tomo meten moneda nacional o tomo proponen en el trabajo nota tomo ponen una navaja en el cuello. Tú eliges siglo / siguiente es conveniente o nota y de esa elección corre	0	0	0
20071	Coño que callados estáis	0	0	0
20072	alguien mediodía puede avisar donde consigo un teclado en arabe-	0	0	0
20073	Jajajajajajjajajajajajajjaa arroba Dios la mujer es maldad mediodía vuelto de aqui, que puta pavera.	1	0	1
20074	cállate puta! Aprende a hablar y blanqueate el hocico.	1	1	1
20075	Mercedes y Vodafone siglo / siguiente lían en la polémica de el futbolista Özil sobre el racismo en Alemania: “Soy alemán cuando ganamos, pero un inmigrante cuando perdemos” vía	0	0	0
20076	Calmados nota siglo / siguiente amontonen!!!pinches nacos frijoleros pikense el culo	1	0	1
20077	Cuando tomo conozca tomo pego un chicle en la cara a ver siglo / siguiente tomo ves algún día bien	0	0	0
20078	tomo eres gilipollas roncero!! Donde está vuestra puta factoría?	0	0	0
20079	Como mediodía matas cuando tomo mueves así de lento, siento todo el recorrido y la presión de tomo coño alrededor de mediodía polla, acaricias mediodía pecho, sientes mediodía respiración agitada, mediodía vuelto a correr nena	0	0	0
20080	La moronegrada está hundiendo el país a base de ser cobradores netos de pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo que / qué importa es 1 negro que / qué dice ser ingeniero	1	0	1
20081	-¿Porque la esatua de la libertad es mujer? -Porque siglo / siguiente nescesitaba una cabeza hueca para hacer un mirador	1	0	0
20082	Comemela XDDD y la cara también!! 🤣🤣🤣🤣🤣 — No nos pasemos	1	1	1
20083	cállate perra de mierda culona	1	1	1
20084	Lo por orden es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres	0	0	0
20085	Jajajaja vuelto cállate puta.	1	1	1
20086	Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos	0	0	0
20087	Eso, incompatible con ser moromierda, o musulmono.	1	0	1
20088	Este güero anotando para mediodía pick de +375. Viva Dinamarca carajo	0	0	0
20089	nota entiendo eso de enseñarle la polla a cualquiera de verdad, nota le encuentro el sentido	0	0	0
20090	majestad / madre obligan a tragar polla y mediodía significar en la cara	0	0	0
20091	LO MAS SATURADO ES VER majestad / madre POLLA EN TU CULO AGUJEREADO	0	0	0
20092	Si, estoy de acuerdo. A ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda. Libertad y respeto.	0	0	0
20093	Lo por orden de todo es que tomo eres parte de la culpa de la destrucción de Venezuela hijo de la grandísima PUTA, y encima sigues siendo chavista MALPARIDO. ahora nota siglo / siguiente valen arrepentimientos tienen 18 años llevando PALO y pasando roncha y es ahorita e	0	0	0
20094	Bronceado 2018 goals he lo mismo / el mismo arroba kebap y mediodía han hablado en árabe. misión cumplida	0	0	0
20095	la sacaron justo a l día siguiente de el documental,por cierto excelente ,destapa la cruda realidad de el inmigrante y de los que / qué quedamos en Vzla.Madurocdtm	0	0	0
20096	Justificó la violencia a los diputados diciendo que ellos fueron a provocar, podes ser tan hijo de puta marcos peña?	0	0	0
20097	CALLATE PERRA LOCA CON METERTE CON LOUIS Yoga ES MUCHO . TE METES CON BARDERAS	1	1	1
20098	Yoga nota tomo discuto comisión sacar una muela así que cállate la puta madre	0	0	0
20099	¿para que siglo / siguiente inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad.	1	0	0
20100	Hay mujers inteligentes, si. Son hombres que siglo / siguiente han operado de cambio de sexo. Alteza revés no.	1	0	0
20102	y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no? (no todos)	1	0	1
20103	majestad / madre vuelto a pintar el pelo güero para que Alfredo mediodía quiera	0	0	0
20104	Los inmigrantes muestran siglo / siguiente cara más violenta con peleas en plena calle — El Pueblo de Ceuta	1	0	0
20105	Ayer mediodía estaba muriendo de una perra infección en la garganta y hoy mediodía la peló, ya estoy mejor.	0	0	0
20106	Y tomo eres la amiga perra que mediodía lo véase / verso mamar a espaldas de ella, estupida	1	1	1
20107	JODER majestad / madre CAGO EN LA PUTA QUE ROBO RAOUL san LO MERECÍA JODER	0	0	0
20108	san lo ha ganado a pulso, y ha sin fecha muy comedido. Ese musulmono o siglo / siguiente lo piensa la próxima vez. O le dan otra mayor.	1	0	1
20109	Así que tomo eres el hijo de puta que siglo / siguiente está comiendo todos los ñus... Vente que vamos a hablar	0	0	0
20110	with get_repost besos de mezcal pa’ el Güero. ¡feliz viernes!	0	0	0
20112	JAJAJAJAJAJA El multitasking es lo de hoy: Perra en Instagram, emo en Twitter, ridículas por Facebook y divas en WhatsApp, todo a la misma vez y sin mezclar historias.	1	0	1
20113	Callate la puta boca resentido y la proxima ves busquen vaselina porque nota queremos hijo	0	0	0
20114	1. el desnudo siempre ha formado parte de el artículo 2. el artículo es súper relativo 3. callate la boca de una puta vez	0	0	0
20115	san maltratas a un animal sos un hijo de puta y tomo merecés vivir de la por orden manera	0	0	0
20116	Lastima.... callate zorra!!!!!!!	1	1	1
20117	Merecias ser ahogado hijo de perra pero mildis	0	0	0
20118	Antonio Adán: majestad / madre novia es sevillista y es una puta mas | Sevilla 3 Real ... vía	1	1	1
20119	Siempre tomo hago el aguante callate, mña siglo / siguiente perra	1	1	1
20120	Los procesos administrativos tienen que ser rápidos para menores inmigrantes refugiades, ya que el futuro de eses menores está en juego. El día de mañana siglo / siguiente quieren trabajar, seguirán sin esos papeles, los hombres terminarán en trabajos irregulares y las mujeres en prostitución.	0	0	0
20121	Buenos dias, a trabajar en la fabrica para pagar a los refugiados y demas... gracias Sánchez por ser tan hijo de puta.	1	0	1
20122	Mirna, para algunas feministas celebrarle un vestido a una mujer es acoso, ojo ahí	0	0	0
20123	... habemos muchos hombres en contra de el acoso; eso sí, nota todos lo expresamos desde el prejuicio sexista. san respuesta siglo / siguiente ganará aplausos y likes de los bienpensantes 'pero en ciertos pasajes nota representa más que el extremo opuesto de la desastrosa columna de Caballero.'	0	0	0
20125	-Mujer: Bésame una vez y tomo pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!	1	0	0
20126	Alteza cállate perra.	1	1	1
20128	Llamar “mala puta” a una mujer es denominado “poema satírico”... Siento verdadero asco, de oír, leer y ver este tipo de ataques a diario arroba en los medios pro_independentistas. Necesitamos más que nunca	0	0	0
20129	Eso demuestra que nota son “refugiados” de países en guerra, sin número económicos, lo que / qué es humano, hasta que / qué tomo das cuenta que / qué siglo / siguiente empiezan con mentiras, seguramente lo que / qué busca es invadir nota convivir!	1	0	1
20130	12 años jugando a la Play le enseñaron bastante. Que hijo de remil puta!!!!!!	0	0	0
20131	"Llevamos ya 3 casos asilados de violencia de inmigrantes en la zona de Barcelona en una semana. ¿A partir de cuantos casos, dejan de considerarse ""aislados""?"	1	0	1
20132	Apartas el tanga a un lado, posas mediodía polla en tomo coño y tomo dejas correo electrónico despacio metiéndola entera, que placer mediodía dar sentir comisión aprieta tomo coño durante todo el recorrido, baja nena	0	0	0
20133	Callate perra yo hago lo que quiero	1	1	1
20134	mediodía acaban aqui de enseñar arroba niño polla o deberia decir PRINGADO don LA VIDA Q LO UNICO Q HA HECHO EN san VIDA (indirectamente) ES TENER UNA POLLA GRANDE.... QUE. PUTO. ASCAZO. NIÑO.	0	0	0
20135	y tienen razón, los inmigrantes vienen a imponernos sus costumbres	1	0	0
20136	Yoga creía que ese jueguito sin lugar de edición / sus labores / sin indicación de el lugar de edición existía para los árabes, jajaja.	0	0	0
20137	Tú eres mediodía perra, ¿yo qué culpa?	1	1	1
20139	acabo de ver a una señora igualita a lupita d’alessio y dije fue comisión OMFG ilustre DAT LA LEONA DORMIDA O NOMAS OTRA SEÑORA GÜERA	0	0	0
20140	JAJJAJAJ cállate perra , mediodía lo dijo por otra cantidad suficiente / cantidades suficientes nota por / besos eso	1	1	1
20141	EL ORGULLO QUE SIENTOES INMENSO, SOS ÚNICO Te lo muy mereces porque sos un actorazo de la puta madre	0	0	0
20143	AMIGOS CON TODO EL RESPETO Y CON MAS HUMOR, LES COMPARTO ESTA PUBLICIDAD don TACOS ÁRABES Y MAS, UBICADO EN CAMINO VIEJO A LA VENTOSA, DONDE ENCONTRARA: TACOS ÁRABES TACOS ORIENTALES, TACOS don BISTEC QUESADILLAS TLAYUDAS &lt;3 &lt;3 &lt;3 NO DEJE don PROBARLOS....	0	0	0
20144	La policía británica permitió la violación de 1.000 niñas pobres por parte de árabes via	1	0	1
20145	Vete a tomar por culo gilipollas, tomo Felipe tendrías que / qué estar en la puta moneda nacional y cállate la boca!! Que nota tienes nota esto es aquí en España sigue estando la misma puta dictadura solamente que adornada con consumismo.	0	0	0
20146	eres una basura de persona, lo cual nota mediodía sorprende porque eres SUDACA, y así son los tercermundistas	1	1	1
20147	Callate por zorra le dice Damián jajajaja	1	1	1
20149	Teñida de el orto mediodía dice el cara de artesanía prehispánica. Seguís siendo sudaca amigo, por algo nota podes irte a tomo alemania natal.	1	1	1
20150	En Ceuta hay una montaña que simboliza todo lo que ocurre a ambos lados de la valla PERFILADA en la roca, con el busto...	0	0	0
20151	Hoy toda esta escoria está callada mediodía gustaría oírlos hablar	0	0	0
20152	-¿Aquí es la oficina de atención contra el racismo? -Claro que sí, pásele pinche indio prieto sarrapastrozo ahorita lo atendemos, primero que pase el güero.	1	0	0
20153	el simio fuenlabreño arroba cual tengo que ver más a menudo. Eres un tío de puta madre y tomo mereces lo mejor de el mundo. Espero que en 2018 tomo vaya todo de lujo y empieces por la puerta grande.	0	0	0
20154	CALLATE QUE MAÑANA NOS VEMOS PERRA	1	1	1
20155	Y lo que nota es la voz, ¿Eh? ¡Movimiento SEMEN!	0	0	0
20156	majestad / madre pone mal verte mal, pero nota por mi, sin número por vos, LA PUTA MADRE TE mereces el cielo nota tomo quedes en una nube sola.	0	0	0
20157	600 manteros saltaron la valla en Ceuta el otro día.	0	0	0
20158	Pedimos picada árabe? 3 palabras, 1 corazón feliz	0	0	0
20159	Que tomo calles ya pesao... ACEPTALO don UNA PUTA VEZ Y dejalo ya en el pasado porte debido / portes debidos disculpas y ya conbio	0	0	0
20160	Lucas callate que nota lees mensaje nunca la puta que tomo pario ahre	0	0	0
20163	Cómo mediodía atraen las güeras 🤤	0	0	0
20164	pero callate puta nota nos vemos hace meses y ahora que mediodía vuelto mediodía querés ver majestad / madre cédula de extranjería MAL AGUSTINA	1	1	1
20165	Tu eres el gilipollas que nota has tocado un libro de historia en tomo puta véase / mira y vas de listo sin saber de lo que hablas	0	0	0
20166	¿Esto podría explicar el brutismo caribeño y el subsahariano? ¿Habrá correlación? Extreme heat linked with reduced cognitive performance among joven adults in non-air-conditioned buildings:	1	0	0
20167	majestad / madre encantaria darte unas nalgadas ricas — A mediodía me encantaría pegarte una hostia en la cara	0	0	0
20168	Porque las mujeres ven las peliculas porno enteras? -Porque siglo / siguiente creen que arroba final siglo / siguiente van a casar o algo.	1	0	0
20169	Porque andan llamando gata, zorra o puta a baekhyun siglo / siguiente es hombre, manga de ridiculas	0	0	0
20170	es una chinguita hacer tamales', refunfuña mediodía sirvienta la diódora. 'cállate o tomo van a salir agrios', le digo... bueno, para qué les cuento a ustedes fresitas que fueron a la universidad, qué van a saber de hacer tamales	0	0	0
20171	Esa gente insultando y condenando arroba asesino de Diana Quer pero que luego le quitan importancia arroba acoso, violación y maltrato a la mujer...	0	0	0
20172	Coño hay una GRAN cantidad de vídeos porno amateur y son bastante buscados la verdad, porque son mujeres 'normales', la gente siglo / siguiente imagina siglo / siguiente vecina, siglo / siguiente amiga, era común Bueno, pero ¿que tiene que ver? Habláis de el porno comisión tal nota de sus cir	0	0	0
20173	No nos confundamos, muchas mujeres posan de victimas de acoso sin lugar de edición / sus labores / sin indicación de el lugar de edición con una mirada, ridículas; ¿estas siglo / siguiente habrán comparado con lo que sufrieron las guerrilleras en las Farc por ejemplo?	1	0	0
20174	Venga siglo / siguiente comemela xddd	0	0	0
20176	Cállate puta Katy Perri de los xiniyos (y nunca mejor dicho)	1	1	1
20177	Ingles y árabe	0	0	0
20178	JAJAJAJAJAJA callate Mica zorra	1	1	1
20179	Uno mas imbécil dirás,hasta la polla ya estaba la gente con las payasadas de Alves y neymar...	0	0	0
20180	"san Dios maldijo a Eva porque siglo / siguiente comió una manzana, imagínense lo que véase / verso a hacer cuando siglo / siguiente entere de que andan de ""borrachas"" y de ""putas"" todos los fines de semana. LAMENTABLE."	0	0	0
20181	comisión estáis tan evolucionados culturalmente le recordais a cualquiera cuales son las normas cívicas. Españoles, negros y árabes sin excepcion, yo nota he visto españoles poniendo pies en asientos. Negros y árabes bastantes.	1	0	1
20182	QUE NO SON NI LAS OCHO don LA MAÑANA, CALLATE Y ECHATE A DORMIR EN VEZ don HABLAR don LA PUTA ESPICHA.	0	0	0
20183	y están deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y niños que puedan. Y oye, siglo / siguiente se legaliza mejor, ¿eh ? EL PROBLEMA ES QUE ESTO NUNCA LES posdata / después de lo escrito A SUS HIJOS Y NIETOS. LASTIMA!	1	0	1
20184	El Director General de la Guardia Civil recorrerá esta tarde la valla que fue asaltada en Ceuta. ¡¡¡ A BUENAS HORAS, MANGAS VERDES !!!	0	0	0
20185	Tu eres zorra amiga jajajajajajajaja	0	0	0
20186	ODIAME ERO Alteza MIRARTE A usted ESPEJO RECUERDA Yoga SOY Alteza Imperial Y ATRACTIVA TU ERES UNA PUTA CERDA	1	1	1
20187	Y estos son los hijos de puta que van a luchar contra la violencia que ejercen contra las mujeres. Es que nota mediodía troncho porque NO TIENE NI PUTA GRACIA	0	0	0
20189	san yo soy nazi, tomo eres un hijo de puta	0	0	0
20190	Lo malo de el tema de acosos sexual que siglo / siguiente dar en TODOS lados… es simple… abuso físico, violación o coacción son un delito… PERO!!! El coqueteo insistente o torpe nota lo es, nota es la caballerosidad una agresión machista… Pero la exageración sensacionalista es lo de hoy ¿no?	0	0	0
20191	ICE le dar gran prioridad a la lucha contra la inmigración ilegal, incluyendo la búsqueda de extranjeros con antecedentes penales que presentan una amenaza para la seguridad pública	0	0	0
20192	Queria charlar de algo, yo soy feminista, siempre que una victima habla de algun abuso, acoso o violacion que sufrio nota le cues... — es complicado porque mediodía esta pasando lo mismo con mediodía viejo, la ex lo esta acusando de cosas que s...	0	0	0
20193	don regreso arroba trabajo. En cancha para Univisión Deportes en el América véase / verso Veracruz. san acabó hasta la melena güera. Ahí nos escuchamos, hermanos	0	0	0
20194	yo siglo / siguiente que / qué soy la persona indicada para estos momentos, nota tomo lo mereces, pero sos mediodía hermano hijo de mil puta, ahi te hablo	0	0	0
20195	Hablemos de la paliza arroba turista americano por manteros subsaharianos , esos que entran echando cal viva a la guardia civil ... nota mejor volvemos a lo de Franco que fue muy malo y evitó muchas checas y gulags siglo / siguiente nota llega a levantarse en esa anárquica España	1	0	1
20196	Callate que vuelto nota rollos tienes che puta	1	1	1
20197	Quieroite un lomito arabe com salsa de ajo	0	0	0
20198	La introducción de los discursos de disculpa de los acusados de acoso sexual este año:	0	0	0
20199	En este país, lo que hay que hacer de una puñetera vez, es que todo ilegal (sin papeles) sea deportado a siglo / siguiente país de una vez. Yoga vale de tanto buenismo y ayudas a inmigrantes antes que a los propios Españoles.	1	0	1
20200	Llegarán en masa a Cartagena. don nosotros y nuestros gobernantes depende dar con la verdadera solución natural, los de refugiados o dar paso a una invasión en toda regla en nuestras calles y la confrontación social de extremistas	1	0	1
20201	una mujer dijo que nota le gustaron los chistes sobre acoso y violación en el película de Rubén y esto le contestaban algunos de sus fans	0	0	0
20202	La zorra siglo / siguiente queda callada porque sabe que mediodía combo es puro power	1	1	1
20203	comemela hso y siglo / siguiente cojemos ahi nomas nota pasa nada ahre	0	0	0
20204	Cállate que la que clava el visto sos vuelto Zorra	1	1	1
20205	comemela lindo JAJAJA	0	0	0
20206	No son subsaharianos, son Negros. Que yo sepa, Sudán y Níger están en el Sáhara.	1	0	0
20207	El inmigrante que siglo / siguiente queja de el inmigrante que siglo / siguiente queja de el inmigrante ... y así hasta el infinito.	0	0	0
20208	Te puedo tener todo el respeto de el mundo, pero esque con una puta vuelto que mediodía des ya nota tomo lo mereces. Entenderlo respeto por respeto.	0	0	0
