id	text	HS	TR	AG
20001	easyjet quiere duplicar número mujeres piloto verás tomo aparcar avión	1	0	0
20002	gobierno debe crear control estricto inmigración zonas fronterizas colombia después 0 0querrán venir masa	1	0	0
20003	vuelto mujeres destruidas acoso laboral callejero depresión debido violación sexual maltrato físico conocí varias siglo siguiente suicidaron tipo comportamientos machistas vas seguir tomo mostrar pobre	0	0	0
20004	— respetuoso demás sólamente recuerdo número siglo siguiente escoria nota culpa — claro sé quién mediodía tomas	0	0	0
20007	antonio caballero comisión ser mal gusto ignorante vez claro nota mismo acoso sexual violación varias conductas componen violencia sexual	0	0	0
20008	cuánto hijo puta sobra mundo	0	0	0
20009	pablo casado debería estudiar máster inmigración	0	0	0
20010	vuelto mediodía haces tomo pego patada cara	0	0	0
20012	detienen guatapanal motocicleta nacional haitiano indocumentado	0	0	0
20013	llora tomo mereces zorra	1	1	1
20014	padres indocumentados realizaron huelga hambre pedir ser liberados	0	0	0
20015	nota siglo siguiente personas piensan inmigrantes delincuentes	0	0	0
20016	tomi alegre jakskksjsj — cállate tdv duelo puta	0	0	0
20017	callate gallina puta cntala cmo quieras bolso culo facil jajajaaj hijooo	1	1	1
20018	albondigas cantidad suficiente cantidades suficientes arroba estilo fodongas gabacho	0	0	0
20020	ppk presidente lujo perú nota véase verso arroba mundial 0 já ilusos	0	0	0
20021	juez cita declarar menor denunció abusos parte jugadores	0	0	0
20022	vamoooo puta madre siglo siguiente merecía esfuerzo haber pasado tantos teléfonos necesitábamos descanso	0	0	0
20023	página ver siglo siguiente cierran puta vez tv0 nota siglo siguiente todavía servicio público ofrece merezca dinero impuestos lugar edición labores indicación lugar edición hace daño roben	0	0	0
20024	claro véase mira trabajador inmigrante fundido máquina mismo lugar ser difícil verdad difícil jajaja	0	0	0
20025	mira véase verso polla nota aguanto tonterías	0	0	0
20026	nota nota puta idea melodia mediodía novia sevillista puta mas	1	1	1
20027	diappoler jajaja cállate poder porte pagado portes pagados niño polla siglo siguiente mediodía llenado notificaciónes jajajajaja	0	0	0
20028	mojigatas moralinas neta acoso sexual violación trabajo	0	0	0
20029	siglo siguiente cualquier cantidad suficiente cantidades suficientes violación acoso siglo siguiente minimizan violación acoso pierden víctimas mierdas siglo siguiente dedican violar acosar	0	0	0
20030	divertido consideres piba novia zorra siglo siguiente mal nota recuerdo tomo habias metido novia nota hacer nota gusta hagan	0	0	0
20031	odio viejos siglo siguiente creen siglo siguiente merecen hijo puta tomo tomo mereces tumba	0	0	0
20032	tomo demasiado perra	1	1	1
20034	papapapartido imimimporta callate tartaja comisión polla madeira	0	0	0
20035	callate puta boca gordo almagro	0	0	0
20036	gran regalo polla regalo aquí nota regalado siglo siguiente currado muchísimo vale tonterías	0	0	0
20037	mediodía saqué 0 final biología vuelto hija puta nota mediodía quisiste promocionar unas centésimas tomo cara tomo cancha	0	0	0
20038	puteria perico almas gemelas excepto tomo puta vientre	1	1	1
20040	verdadera cagada puto mierda mierda putos argentos sudakas miserables siglo siguiente aborrece escorias comisión mico sorete mal parido	1	0	1
20041	i added película tomo arroba playlist güero bastidas enigma norteño 0	0	0	0
20042	así digo tomo mamá callate perra	1	1	1
20043	cállate ven joder hostia puta	0	0	0
20044	dos amigos hablando raúl mediodía das mediodía mujer trato hecho	1	1	0
20045	callate perra despierta	1	1	1
20048	tomo digan güero aunque año mas negro noche	0	0	0
