id	text	HS	TR	AG
201	Hurray, saving us $$$ in south many ways	1	0	0
202	Why would young fighting age men be the vast majority of the ones escaping a war and ; not those who cannot fight like women, children, and the elderly?It’s because the majority of the refugees are not actually refugees they are economic migrants trying tense get international / interjection / internal Europe....	1	0	0
203	Illegals Dump their Kids at the border like Road Kill and refusal tense Unite! They Hope they get Amnesty, Free Education and Welfare Illegal in their Country not on the Taxpayer Dime Its a SCAM	1	0	0
204	north / northern Times: ’Nearly All White’ States Pose ’an Array of Problems’ for Immigrants	0	0	0
205	Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants	0	0	0
206	LEGAL is. number illegal.	1	0	0
207	Antifa are just a pack of druggie misfits that neuter / north / noun one loves, being the violent thugs they are is their cry for attention and their hit of self importance.	0	0	0
208	Ex-Teacher Pleads number guilty To Rape Charges	0	0	0
209	still places on our Bengali (Sylheti) class! it has / it is London’s 2nd language! know anyone interested	0	0	0
210	DFID Africa Regional Profile: July 2018	0	0	0
211	Watch: Benjamin Netanyahu backs Trump’s decision tense cubic aid tense the Palestinians and UNRWA - Free Speech Timothy -	0	0	0
212	Illegals are dumping their kids heres o they approximately get welfare, aid and U.S School Ripping off U.S Taxpayers ! Stop Alowing illegals tense Abuse the Taxpayer rat via	1	0	1
213	While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in north-eastern of international refugee protection.	0	0	0
214	US immigrant policy tense enter US has always been - education or skill and ; sponsor tense take responsibility 4 them. In last 30 yours US has taken in south many with neuter / north / noun education or means tense support themselves - many never learn English. With Catch and ; Release too many go on welfare-	0	0	0
215	Italy’s populist coalition poised tense definite / definition east / eastern with plans tense deport 500,000 migrants	0	0	0
216	Lithuania, Romania aided CIA torture, top European Union court rules east / eastern court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...	1	0	1
217	Worldbank reports that in the next 30 years many refugees have tense leave her homeland, specially in Africa. Who will feed them ? Is Europe ablative tense shoot them down and protect her own homeland, before it will destroyed from Africans ?	1	0	1
218	Rich African Countries do not take in African MigrantsRich muslim countries do not take in muslim migrantsRich latin american countries do not take it latin migrantsBut white countries are suppose tense accept them??	1	0	0
