id	text	HS	TR	AG
201	hurray saving us south many ways	1	0	0
202	would young fighting age men vast majority ones escaping war cannot fight like women children elderly ’ majority refugees actually refugees economic migrants trying tense get international interjection internal europe	1	0	0
203	illegals dump kids border like road kill refusal tense unite hope get amnesty free education welfare illegal country taxpayer diminutive scam	1	0	0
204	north northern times ’nearly white’ states pose ’ array problems’ immigrants	0	0	0
205	orban brussels european leaders ignoring people want migrants	0	0	0
206	legal number illegal	1	0	0
207	antifa pack druggie misfits neuter north noun one loves violent thugs cry attention hit self importance	0	0	0
208	ex teacher pleads number guilty tense rape charges	0	0	0
209	still places bengali sylheti class london’ 0nd language know anyone interested	0	0	0
210	dfid africa regional profile july 0	0	0	0
211	watch benjamin netanyahu backs trump’ decision tense cubic aid tense palestinians unrwa free speech timothy	0	0	0
212	illegals dumping kids heres approximately get welfare aid u school ripping u taxpayers stop alowing illegals tense abuse taxpayer rat via	1	0	1
213	costa rica received asylum claims panama mexico usa also recorded growing trend claims nicaraguans north eastern international refugee protection	0	0	0
214	us immigrant policy tense enter us always education skill sponsor tense take responsibility 0 last 0 us taken south many neuter north noun education means tense support many never learn english catch release many go welfare	0	0	0
215	italy’ populist coalition poised tense definite definition east eastern plans tense deport 0 0 migrants	0	0	0
216	lithuania romania aided cia torture top european union court rules east eastern court joke silent europe destroyed forced islamist immigration	1	0	1
217	worldbank reports next 0 years many refugees tense leave homeland specially africa feed europe ablative tense shoot protect homeland destroyed africans	1	0	1
218	rich african countries take african migrantsrich muslim countries take muslim migrantsrich latin american countries take latin migrantsbut white countries suppose tense accept	1	0	0
219	new research uncovers successes failures uk’ help syrian immigrants	0	0	0
220	immigration us 0 million east eastern migrants allowed families also money leaving east eastern neuter north noun thats tense past passage tense get tense uk	0	0	0
221	close tunnels gunpowder	0	0	0
222	hitler left stain germany atrocities committed jews trump leave stain america atrocities commiting immigrant families hope reenactment nuremberg trials end reign	0	0	0
223	past two weeks 0 0 refugees arrived us 0 0 arrived fy0 west nearly 0 0 behind schedule west western continue tense stand vulnerable	0	0	0
224	church leaders determine tense ease problems heart plaguing	0	0	0
225	buckle tense demands swear undying trust enemy nation	0	0	0
226	discussing ’ black box american success rat	1	0	1
227	cruel ironically sikhs often look exotic tense american eyes even though tend tense among deeply assimilated immigrant groups course people mistaken also deserve tense attacked	0	0	0
228	eu’ hailed migrant per annum ‘˜ road tense hell’ czech republic refuses involvement	1	0	1
229	could open home tense refugees need	0	0	0
230	ms 0 spreads tense 0 states fed 0 0 illegals district columbia recipients tied tense 0 murders creates illegal migration always always	1	0	1
231	activists chained tense italian transport ministry tense protest immigration policy	0	0	0
232	spain migrants riot tense protest slow wifi uncomfortable bed disgusting food shelter free speech timothy	0	0	0
233	please listen tense syrian refugee germany asks people around world demand annihilation women children deliberate attacks hospitals medial people mass bombings tried crimes truly	0	0	0
234	real truth cologne nordic countries others neuter north noun one trusts refugees better life mean 0 0 u	1	0	0
235	federal judge tense imminent danger irreparable injury tense visa holders etcetera	0	0	0
236	watch french mayor declares muslim migrants welcome free speech timothy	1	0	1
237	border ranchers shock msnbc facts illegal immigration via	0	0	0
238	texas ’moral responsibility’ tense protect detained immigrant kids hispanic lawmakers say yes south 0 jurisdictions many states union state laws child abuse	0	0	0
239	two children washed barb wired beach another scum photographer another attempt tense get east eastern tense take migrants enough propaganda	1	0	0
240	illegal alien charged murder homeless woman new york city	0	0	0
241	watch muslim migrants terrorizing swedish people including elderly people stand way free speech timothy	1	0	0
242	east eastern worried ’populism’ tens thousands migrants reaching spain	0	0	0
243	islam europe documentary arab african immigrants destroying via	1	0	1
244	attacks state’ immigrants dragged feet signing critical legislation tense protect immigrant community including south southern 0 south southern 0 south southern 0 south southern 0 south southern 0	0	0	0
245	rescued migrants arrive pozzallo italian grants approval tense document	0	0	0
246	passenger harlingen tense dallas tx infected many tense measles stop invasion	1	0	1
247	streets look like 0 years rat	1	0	0
248	legal immigrant leaves us visa renewed yet tons people give shit stance illegal immigration cubic logic stay awesome stay positive west love	0	0	0
249	italian bishop warns europe must avoid fear xenophobia welcome muslim migrants via another christion moron death wish	0	0	0
250	west tense look forward west western made arab world roman catholic roman catholicism got paid number west	1	0	0
251	establishment europe court humanrights court allows crimerefugees tense stay forever europe send back homeland south southern court responsibility mulricriminal society future one says	0	0	0
252	dear thank giving back son immigrant came tense us with0¢ pocket thank giving opportunity one biggest fans athletic prowess commitment education ultimate equalizer	0	0	0
253	plight represents present future much south	0	0	0
254	west western neuter north noun longer alone italian primer primers minister hails migrant distribution success	0	0	0
255	lisdoonvarna village earmarked replacement along growing number towns cities right across ireland listen tense irish fg minister ’equality immigration	0	0	0
256	let us build wall	1	0	1
257	us supreme court upholds donald trump’ immigration travel ban north western via	0	0	0
258	worker charged sexually molesting eight children immigrant shelter	0	0	0
259	guatemalan mother separated 0 year old daughter waits	0	0	0
260	instead making illinois welcoming state turned back immigrant communities series bills sitting desk	0	0	0
261	toronto last year neuter north noun longer looked like canada sad situation canadians good people immigration start deportations west western right tense homelands	1	0	1
262	democratic patriots plural call representatives demand confirmed esp election	1	0	1
263	new anti migrant national consensus	0	0	0
264	sweden migrant raped 0 year old grandmother christmas eve – allowed tense remain sweden via	1	0	0
265	right	0	0	0
266	immigrant mentality job approximately taken away time south make sure earn every day   pepsi’ indra nooyi learned tense ceo	0	0	0
267	join teach surviving violence ice experiences criminalized immigrant survivors thursday south southern	0	0	0
268	polish primer primers minister mateusz morawiecki insisted poland would push discussion refugee relocations paragraph eu’ migration politics	0	0	0
269	south southern well said daniel speeches smack alinsky divide conquer victimizing one group calling bigots racists fascist etcetera	1	0	1
270	heraldry refugees illegal immigrants whether one documents 0 north western difficult slum people beggars tense show valid documents except name voter list 0st	1	0	0
271	refugees choose tense refugees definition refugees forced tense leave home country lives safety threatened learn refugees downloading free e book 0 things know refugees âž	0	0	0
272	rally tense support detained pizza worker immigrant	0	0	0
273	would say electrify water would kill wildlife	1	0	1
274	actually military alex friend white house south nobody ’’come’ unlike say muslims ot immigrant chilfren	0	0	0
275	good news illegal immigrants bangladeshi must go evidence stay assam	1	0	0
276	deport illegal aliens kids back tense 0rd world nations american citizens taxpayers tired robbed 0rd world nation paying illegal aliens kids	1	0	0
277	germans ok like rest western europe immigration problem came east romania partly responsible neuter north noun vote also east eastern unelected approximately hardly claim tense represent european nation	0	0	0
278	maninder felt immigration new zealand said tense via	0	0	0
279	failing tense integrate refugee children risks devastating consequences children youth school unemployed susceptible tense crime exploitation abuse possibly radicalization	0	0	0
280	manual lice find viennese schools somerset refugees brought us gift tense rescue cost 0 â‚¬ person	1	0	0
281	way tense damage lasvegas stupidity mgm turns tense never tested law tense sue vegas shooting victims	0	0	0
282	⁦ ⁩ donating flights tense deport invaders back tense homeland	1	0	1
283	russia russia di wait big scary russia helping people go home without detained etcetera	0	0	0
284	fake north western new stephen miller rule public charge rule paragraph u rat law since 0 u taxpayers give welfare tense immigrants import world’ poor https	1	0	1
285	politifact florida bill nelson claims detained immigrant parents charged 0 minute tense call children phony makes masculine sick shared masculine google feed	0	0	0
286	page sub verbo word delhi becoming slum city hub illegal migrants pl take line left length help removing encroachments eviction ims	1	0	0
287	usual media giving two sides republican side democrat side immigration views bother offering west allow supply demand labor decide many cross let econ 0 supply demand decide	0	0	0
288	netherlands 0 0 girls per year become sex slaves tense ‘˜migrant background’ men ’ cape fear caller via	0	0	0
289	books tense help kids understand like tense	0	0	0
290	russian meddling syrian refugee repatriation	0	0	0
291	west western north eastern tense improve country schools neighborhoods hospitals prisons kicking illegals	1	0	0
292	every nation tribe tongue still applies doorstep instead south southern many refused tense go god started tense bring tense us anti immigrant attitude mindset anti god period	0	0	0
293	people say immigrant central south america apply proper way keep forms decades immigration discriminated people color central south america	0	0	0
294	mandy manning one world relief’ friends partners named 0 national teacher year work students read incredible story âž	0	0	0
295	starting number pittsfield etv bcc presents access higher edition edward ’berkshire immigrant stories’	0	0	0
296	cannot allowed tense happen child kidnapper molester miller needs tense gone	1	0	1
297	thing approximately wash away problem big red wave november	1	0	1
298	canadian using deoxyribonucleic acid testing ancestry websites tense investigate migrants far im concerned entered undocumented illegally gave right tense privacy	0	0	0
299	immigrant hung shot period animal	1	1	1
300	immigrant health workers uk	0	0	0
301	mess migrant dads via	0	0	0
302	soon finished us+turkey secretserv action fighter 0 open syrian passports use stop immigration tense europe	1	0	0
303	boy sure hated separated kids kids get tense stay rat	1	0	1
304	wonderful woman kind immigrant west north eastern	0	0	0
305	continued sustained damage 0 tories	0	0	0
